エラーメッセージ<tab>コード	原因<tab>解決策
  1.3861  1.3861  1.4165  1.5192  1.5804  1.5331  1.4395  1.4261  1.4672
  1.5184  1.5895  1.7281  1.9265  2.1678  1.77    1.7912  1.7821  1.7257
  1.6768  1.6334  1.4896  1.5004  1.5888  1.5741  1.639   1.7028  1.6074
  1.4254  1.1781  1.2852  1.4547  1.4655  1.413   1.5275  1.5539  1.5894
  1.6582  1.8347  1.8195  1.6475  1.8026  1.794   1.8589  1.8746  1.9512
  2.0218  2.0635  1.9096  1.9976  1.8629  1.9356  1.9682  2.0527  2.0882
  2.2004  2.3158  2.2222  2.1247  2.0026  1.9142  1.8206  1.8172  1.8662
  2.0651  2.0048  1.9784  1.8956  1.9879  2.072   2.198   2.2616  2.185
  2.3236  2.3552  2.3682  2.4527  2.4961  2.4358  2.5806  2.7792  2.7831
  2.7175  2.5975  2.5671  2.7344  2.8016  2.9634  3.0665  2.8715  2.5403
  2.9084  2.8237  3.0334  3.0993  2.8965  2.5329  2.4298  2.206   2.3053
  2.1007  2.1705  1.9512  3.4242  3.3317  3.4106  4.0983  3.724   3.9917
  3.5459  3.1523  1.8209  1.7554  1.8226  1.8681  2.1099  2.3817  2.3817
  2.7986  2.7986  2.8927  2.4091  2.3999  2.4982  2.4786  2.2875  2.1675
  2.3889  2.505 ].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	"sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない
<tab>二重括弧をつけるか、reshape(-1,1)をつける"
"ValueError: Found input variables with inconsistent numbers of samples: [500, 152]<tab>print(""MSE: "", mean_squared_error(y, y_pred))"	yとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
AttributeError: 'Series' object has no attribute 'df_week'<tab>df['week'] = df['week'].fillna(df['week'].df_week)	.df_weekが違う<tab>.mean()などの数値の処理に関したメゾットにした方がいいかも。
TypeError: '<=' not supported between instances of 'str' and 'int'<tab>if X[-3]<=4:	str型とint型で比較演算子は使えない<tab>型を揃えて比較する
TypeError: dropna() got an unexpected keyword argument 'asix'<tab>df_uid_all = df_uid_all.dropna(asix=1)	axisのスペルが違う<tab>asixをaxisに直す
AttributeError: 'builtin_function_or_method' object has no attribute 'r2_score'<tab>r2 = max.r2_score(y, y_pred)	必要ないmaxが付いている<tab>max.r2_score(y,y_pred)をr2_score(y,y_pred)に直す
TypeError: 'str' object is not callable<tab>if S(2)==S(3) or S(4)==S(5):	文字列のindexは()で指定できない<tab>文字列[指定したindex]にする
NameError: name 'clumn' is not defined<tab>print(f'{clumn}決定係数(R2):', r2)	変数clumnが見つからない<tab>clumnを定義するまたはcolumnに直す
TypeError: must be real number, not function<tab>print(ceil(a))	mathモジュールを使っていない<tab>import mathして、math.ceil()と書く
TypeError: '<=' not supported between instances of 'int' and 'NoneType'<tab>if int(A) <= i <= int(B):	int型とNoneType型で比較演算子は使えない<tab>型を揃えて比較する
ValueError: invalid literal for int() with base 10: 'coder'<tab>a,b= map(int,input().split())	文字列'coder'はint型に変換できない<tab>map(int,input().split())をmap(input().split())に直す
KeyError: 'target'<tab>y = df['target']	データフレームdfに列'target'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: bad operand type for unary +: 'str'<tab>print(s[k-1],+'...')	文字列を連結する際に,がある<tab>print(文字列1+文字列2)のようにする
TypeError: '(['week'], ['weather'], ['kcal'])' is an invalid key<tab>X = df[['week'],['weather'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name 'string' is not defined<tab>A=string[1:]	stringが見つからない<tab>string=...のようにリスト型か文字列を定義する
TypeError: unsupported operand type(s) for /: 'str' and 'int'<tab>if X / 100 == 0:	Xが文字列型になっている<tab>Xの型を数値型にする
NameError: name 'SD' is not defined<tab>S[0],S[2] = S[2],SD[0]	SDはスペルミス<tab>リスト名を確認し、Sに直す
KeyError: ('犯罪率', '低所得率')<tab>X = df[column,'低所得率']  # ひとつ選ぶ	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: '<=' not supported between instances of 'int' and 'str'<tab>if 0<=N<10:	int型とstr型で比較演算子は使えない<tab>型を揃えて比較する
NameError: name 'model' is not defined<tab>y_train_pred= model.predict(X)	modelが見つからない<tab>model=...のように定義する
KeyError: 'kal'<tab>df['kal'].describe	データフレームdfに列'kal'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'c' is not defined<tab>a=ord(c)+N	変数cが見つからない<tab>c=...のように定義する
KeyError: 'neme'<tab>df.head(df['neme'])	データフレームdfに列'name'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: not enough values to unpack (expected 4, got 1)<tab>a,b,c,d = map(int, input().split())	入力した値を入れる変数は4個あるけど、実際には1個しか入力されていない<tab>入力を4個に増やすか、変数を1個に減らそう
"KeyError: ""None of [Index(['通勤時間', '教員'], dtype='object')] are in the [columns]""<tab>X = df[['通勤時間', '教員']]  # 説明変数"	データフレームdfに列'通勤時間', '教員'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
KeyError: ('kcal', 'temperature')<tab>X = df['kcal','temperature']  # 価格以外を全て説明変数に	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
FileNotFoundError: [Errno 2] No such file or directory: 'bento.csv'<tab>df = pd.read_csv('bento.csv')	bento.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name 'SVR' is not defined<tab>model = SVR(max_depth=depth)  # None 制限なし	SVRがimportされていない<tab>from sklearn.svm import SVRのようにimportする
AttributeError: 'str' object has no attribute 'append'<tab>ss.append(chr(a))	ssは文字列のためappendできない<tab>ssをリスト型にするまたは、ss+追加したい文字列にする
TypeError: __init__() got an unexpected keyword argument 'maxdeapth'<tab>model = DecisionTreeRegressor(maxdeapth=3)	maxdeapthはスペルミス<tab>max_depth=...に直す
TypeError: '>=' not supported between instances of 'str' and 'int'<tab>if X >=100:	str型とint型で比較演算子は使えない<tab>型を揃えて比較する
TypeError: hist() got multiple values for argument 'bins'<tab>plt.hist(df[column], df['G3'], bins=20)	引数が2つある<tab>plt.hist(df['G3'], bins=20) のように1つにする
NameError: name 'columns' is not defined<tab>columns	変数columnsが見つからない<tab>columns=...のように定義する
NameError: name 'r2_score' is not defined<tab>r2 = r2_score(y, y_pred)	scikit-learnの関数r2_scoreが見つからない<tab>from sklearn.metrics import r2_score する
ValueError: invalid literal for int() with base 10: 'B'<tab>N=int(input())	文字列''B'はint型に変換できない<tab>int(input())をinput()に直す
NameError: name 'df_uid_pr' is not defined<tab>df_uid_pr	データフレームdf_uid_prが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""['低所得理'] not in index""<tab>X = df[['低所得理', '資産税']]"	データフレームdfに列'低所得理'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""['資産'] not in index""<tab>X = df[['資産','築年']]"	データフレームdfに列'資産'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: __init__() got an unexpected keyword argument 'figsiza'<tab>plt.figure(figsiza = (6,6))	figureではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
KeyError: ('部屋数', '低所得')<tab>X = df['部屋数','低所得']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
TypeError: '(['犯罪率'], '低所得率')' is an invalid key<tab>X = df[[column],'低所得率']  # ひとつ選ぶ	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
"ValueError: Expected 2D array, got 1D array instead:
array=[404 404 404 404 404 404 404 404 404 404 404 404 404 404 404 404 404 404
 404 404 404 404 404 404 404 404 404 404 404 462 435 440 376 450 415 430
 375 447 426 400 418 415 445 450 448 460 445 430 420 435 425 423 415 438
 432 416 426 405 426 410 408 396 384 436 428 407 413 393 409 396 385 397
 370 372 360 382 400 392 372 350 407 392 315 404 349 377 380 390 350 387
 353 376 362 404 340 370 330 333 325 375 382 340 360 404 342 368 415 420
 415 405 434 400 428 430 403 404 406 425 430 428 400 430 423 414 438 404
 420 418 424 405 430 417 426 413 440 404 440 427 426 430 407 421 430 420
 414 404 435 362 363 412 432 354 370 388 386 404 418 324 434 418 401 409
 355 410 404 432 449 441 386 380 410 400 410 415 404 411 400 396 385 423
 405 404 412 400 410 396 398 380 440 408 405 380 385 460 450 385 404 438
 430 395 400 395 408 394 404 404 398].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
"KeyError: ""['soldo'] not in index""<tab>X = df[['soldo','kcal','payday','temperature', 'weather_num','week_num', 'precipitation_num','event_num','remarks_num']]"	データフレームdfに列'soldo'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""['precipation'] not found in axis""<tab>df.drop('precipation', axis=1, inplace=True)"	precipationはタイプミス<tab>precipitationに直す
AttributeError: 'str' object attribute 'replace' is read-only<tab>S.replace=(S[1],S[2])	リストの番号で指定できない<tab>S = [S[1],S[0]] + S[2:] に直す
"ValueError: Expected 2D array, got 1D array instead:
array=[0 1 0 1 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 1
 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1
 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1
 0 1 1 1 0 1 0 1 1 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0
 1 0 0 1 0 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0
 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
NameError: name 'No' is not defined<tab>print(No)	変数ansgdが見つからない<tab>ansgd=...のように定義する
NameError: name 'X' is not defined<tab>plt.plot(X,Y)	変数Xが見つからない<tab>X=...のように定義する
NameError: name 'coloumn' is not defined<tab>X = df[[coloumn]]  # 説明変数	変数coloumnが見つからない<tab>coloumnを定義するまたはcolumnに直す
ImportError: cannot import name 'MLPRegressor' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)<tab>from sklearn.ensemble import MLPRegressor	import元が異なる<tab>from sklearn.neural_network import MLPRegressorでimportする
UsageError: Cell magic `%%atcder` not found.<tab>get_ipython().run_cell_magic('atcder', 'https://atcoder.jp/contests/abc111/tasks/abc111_a', 'n = int(input())\nprint(1110 - n)')	%%atcoderのスペルが違う<tab>%%atcderを%%atcoderに直す
"KeyError: ""[''] not in index""<tab>X = df[['低所得率','','交通']]  # ひとつ選ぶ"	指定した列''が見つからない<tab>列名'に直す
ValueError: With n_samples=0, test_size=0.3 and train_size=None, the resulting train set will be empty. Adjust any of the aforementioned parameters.<tab>X_train_all_name, X_test_all_name = train_test_split(df_all_name,test_size = 0.3)	データの読み込みができていない<tab>データを読み込んでいるコードを確認する
ValueError: invalid literal for int() with base 10: 'oder'<tab>s,t=map(int,input().split())	文字列'oder'はint型に変換できない<tab>map(int,input().split())をmap(input().split())に直す
ValueError: not enough values to unpack (expected 3, got 1)<tab>N=a,b,c=map(int,input().split())	入力した値を入れる変数は3個あるけど、実際には1個しか入力されていない<tab>入力を3個に増やすか、変数を1個に減らそう
TypeError: int() argument must be a string, a bytes-like object or a number, not 'function'<tab>N = int(input)	()が不足している<tab>int(input())に直す
TypeError: 'type' object is not iterable<tab>for S in range:	range関数の範囲が指定されていない<tab>range(繰り返したい数 - 1)のようにする
IndexError: string index out of range<tab>s[1]	指定したindexは文字列にない<tab>文字列またはindexの値を見直す
ImportError: cannot import name 'GaussianProcessRegressor' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)<tab>from sklearn.ensemble import GaussianProcessRegressor	import元が異なる<tab>from sklearn.gaussian_process import GaussianProcessRegressorでimportする
"UsageError: Cell magic `%%atcuder` not found.<tab>get_ipython().run_cell_magic('atcuder', 'https://atcoder.jp/contests/abc228/tasks/abc228_a', ""S,T,X = map(int,input().split())\nif S  in X:\n    print('Yes')\nelse:\n    print('No')"")"	%%atcoderのスペルが違う<tab>%%atcuderを%%atcoderに直す
NameError: name 'o' is not defined<tab>o	変数oが見つからない<tab>o=...のように定義する
KeyError: '曜日（月～金'<tab>df['曜日（月～金'].map({	データフレームdfに列'曜日（月～金'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: '(['犯罪率'], ['犯罪率'], ['犯罪率'])' is an invalid key<tab>X = df[[column],[column],[column]]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name 'sample' is not defined<tab>df=sample(150)	sample単体で使用できない<tab>df.sample()にする
AttributeError: type object 'int' has no attribute 'replace'<tab>print(int.replace('1', '9').replace('9', '1'))	int関数の使い方が違う<tab>int型にする場合はint()にする
"UsageError: Cell magic `%%arcoder` not found.<tab>get_ipython().run_cell_magic('arcoder', 'https://atcoder.jp/contests/abc149/tasks/abc149_a', ""S,T=map(str, input().split())\nprint(f'{S}{T}')"")"	%%atcoderのスペルが違う<tab>%%arcoderを%%atcoderに直す
ValueError: invalid literal for int() with base 10: '1 1 7 2'<tab>x=int(input())	'1 1 7 2'はint型に変換できない<tab>int(input())をmap(int,input().split())に直す
"NameError: name 'x_test' is not defined<tab>print(""MSE: "", mean_squared_error(x_test,y_pred))"	変数x_testが見つからない<tab>x_test=...のように定義する
NameError: name 'n' is not defined<tab>a=S[-int(n):]	変数nが見つからない<tab>n=...のように定義する
TypeError: 'DataFrame' object is not callable<tab>X = df(['通勤', '教員'])  # 説明変数	データフレームからのデータの抽出方法が違う<tab>丸かっこ () を角かっこ [] に直す
AttributeError: 'list' object has no attribute 'apend'<tab>ss.apend(chr(a)) #リストに追加	appendのスペルが違う<tab>apendをappendに直す
ValueError: could not convert string to float: '月'<tab>model.fit(X, y)	文字列を数値に変えないと処理できない<tab>文字列を数値に変えるデータ前処理を行う
AttributeError: 'PathCollection' object has no property 'coloer'<tab>plt.scatter(y, y_pred, coloer = 'red', alpa = 0.3)	colorのスペルが違う<tab>coloerをcolorに直す
"TypeError: can only concatenate str (not ""float"") to str<tab>print(round(X+0.5))"	Xと0.5の型が異なるので演算不可<tab>文字列または数値に揃える
TypeError: __init__() got an unexpected keyword argument 'figure'<tab>plt.figure(figure=(6,6))	figureではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
NameError: name 'printlen' is not defined<tab>printlen((data1_c2))	printのスペルが違う<tab>print()に直す
"ValueError: invalid literal for int() with base 10: '1 3'<tab>l=[int(input()).split("" "") for i in range(x)]"	複数の入力に対してmap関数が不足<tab>map(型,input().split())で複数の入力ができる
AttributeError: 'str' object has no attribute 'splirt'<tab>A,B,C=map(int,input().splirt())	splitのスペルが違う<tab>splitに直す
ValueError: invalid literal for int() with base 10: 'tanaka'<tab>s,t=map(int,input().split())	文字列'tanaka'はint型に変換できない<tab>map(int,input().split())をmap(input().split())に直す
"KeyError: ""['precipiation_num'] not in index""<tab>X = df[['weather_num','precipiation_num']]"	データフレームdfに列'precipiation_num'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: 'LinearRegression' object has no attribute 'predect'<tab>y_pred = model.predect(X)	predictのスペルが違う<tab>predectをpredictに直す
ModuleNotFoundError: No module named 'slearn'<tab>from slearn.metrics import r2_score	slearnという名前のモジュールが見つからない<tab>モジュールの名前を確認する、もしくはモジュールをimportする
"ValueError: Expected 2D array, got 1D array instead:
array=[4.].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.predict([(4.00)])"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
ValueError: invalid literal for int() with base 10: '99.9'<tab>N=int(input())	'99.9'はint型に変換できない<tab>int(input())をfloat(input())に直す
"KeyError: ""['部屋巣'] not in index""<tab>X = df[['部屋巣', '低所得率']]  # 説明変数　二つ選ぶ"	データフレームdfに列'部屋巣'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name 'intmax' is not defined<tab>print(b[b.index(intmax(c))])	intmax関数は使用できない<tab>int(x)やmax(x)のように使う
NameError: name 'num' is not defined<tab>Sx,Sy,Gx,Gy=map(int, input().split(),'{:10}'.format(num))	変数numが見つからない<tab>num=...のように定義する
NameError: name 's' is not defined<tab>s_zero = s.zfill(4)	変数sが見つからない<tab>s=...のように定義する
TypeError: value_counts() missing 1 required positional argument: 'values'<tab>pd.value_counts()	value_countsは列を指定する必要がある<tab>df['列名'].value_counts()で要素数を数える
"KeyError: ""['低所得者'] not in index""<tab>X = df[['低所得者','部屋数']]"	データフレームdfに列'低所得者'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
KeyError: ('通勤', '教員比')<tab>X = df['通勤','教員比']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
KeyError: 'tempoture'<tab>X = df['tempoture'] #一つ選ぶ	データフレームdfに列'tempoture'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"ValueError: Expected 2D array, got 1D array instead:
array=[ 4.98  9.14  4.03  2.94  5.33  5.21 12.43 19.15 29.93 17.1  20.45 13.27
 15.71  8.26 10.26  8.47  6.58 14.67 11.69 11.28 21.02 13.83 18.72 19.88
 16.3  16.51 14.81 17.28 12.8  11.98 22.6  13.04 27.71 18.35 20.34  9.68
 11.41  8.77 10.13  4.32  1.98  4.84  5.81  7.44  9.55 10.21 14.15 18.8
 30.81 16.2  13.45  9.43  5.28  8.43 14.8   4.81  5.77  3.95  6.86  9.22
 13.15 14.44  6.73  9.5   8.05  4.67 10.24  8.1  13.09  8.79  6.72  9.88
  5.52  7.54  6.78  8.94 11.97 10.27 12.34  9.1   5.29  7.22  6.72  7.51
  9.62  6.53 12.86  8.44  5.5   5.7   8.81  8.2   8.16  6.21 10.59  6.65
 11.34  4.21  3.57  6.19  9.42  7.67 10.63 13.44 12.33 16.47 18.66 14.09
 12.27 15.55 13.   10.16 16.21 17.09 10.45 15.76 12.04 10.3  15.37 13.61
 14.37 14.27 17.93 25.41 17.58 14.81 27.26 17.19 15.39 18.34 12.6  12.26
 11.12 15.03 17.31 16.96 16.9  14.59 21.32 18.46 24.16 34.41 26.82 26.42
 29.29 27.8  16.65 29.53 28.32 21.45 14.1  13.28 12.12 15.79 15.12 15.02
 16.14  4.59  6.43  7.39  5.5   1.73  1.92  3.32 11.64  9.81  3.7  12.14
 11.1  11.32 14.43 12.03 14.69  9.04  9.64  5.33 10.11  6.29  6.92  5.04
  7.56  9.45  4.82  5.68 13.98 13.15  4.45  6.68  4.56  5.39  5.1   4.69
  2.87  5.03  4.38  2.97  4.08  8.61  6.62  4.56  4.45  7.43  3.11  3.81
  2.88 10.87 10.97 18.06 14.66 23.09 17.27 23.98 16.03  9.38 29.55  9.47
 13.51  9.69 17.92 10.5   9.71 21.46  9.93  7.6   4.14  4.63  3.13  6.36
  3.92  3.76 11.65  5.25  2.47  3.95  8.05 10.88  9.54  4.73  6.36  7.37
 11.38 12.4  11.22  5.19 12.5  18.46  9.16 10.15  9.52  6.56  5.9   3.59
  3.53  3.54  6.57  9.25  3.11  5.12  7.79  6.9   9.59  7.26  5.91 11.25
  8.1  10.45 14.79  7.44  3.16 13.65 13.    6.59  7.73  6.58  3.53  2.98
  6.05  4.16  7.19  4.85  3.76  4.59  3.01  3.16  7.85  8.23 12.93  7.14
  7.6   9.51  3.33  3.56  4.7   8.58 10.4   6.27  7.39 15.84  4.97  4.74
  6.07  9.5   8.67  4.86  6.93  8.93  6.47  7.53  4.54  9.97 12.64  5.98
 11.72  7.9   9.28 11.5  18.33 15.94 10.36 12.73  7.2   6.87  7.7  11.74
  6.12  5.08  6.15 12.79  9.97  7.34  9.09 12.43  7.83  5.68  6.75  8.01
  9.8  10.56  8.51  9.74  9.29  5.49  8.65  7.18  4.61 10.53 12.67  6.36
  5.99  5.89  5.98  5.49  7.79  4.5   8.05  5.57 17.6  13.27 11.48 12.67
  7.79 14.19 10.19 14.64  5.29  7.12 14.   13.33  3.26  3.73  2.96  9.53
  8.88 34.77 37.97 13.44 23.24 21.24 23.69 21.78 17.21 21.08 23.6  24.56
 30.63 30.81 28.28 31.99 30.62 20.85 17.11 18.76 25.68 15.17 16.35 17.12
 19.37 19.92 30.59 29.97 26.77 20.32 20.31 19.77 27.38 22.98 23.34 12.13
 26.4  19.78 10.11 21.22 34.37 20.08 36.98 29.05 25.79 26.64 20.62 22.74
 15.02 15.7  14.1  23.29 17.16 24.39 15.69 14.52 21.52 24.08 17.64 19.69
 12.03 16.22 15.17 23.27 18.05 26.45 34.02 22.88 22.11 19.52 16.59 18.85
 23.79 23.98 17.79 16.44 18.13 19.31 17.44 17.73 17.27 16.74 18.71 18.13
 19.01 16.94 16.23 14.7  16.42 14.65 13.99 10.29 13.22 14.13 17.15 21.32
 18.13 14.76 16.29 12.87 14.36 11.66 18.14 24.1  18.68 24.91 18.03 13.11
 10.74  7.74  7.01 10.42 13.34 10.58 14.98 11.45 18.06 23.97 29.68 18.07
 13.35 12.01 13.59 17.6  21.14 14.1  12.92 15.1  14.33  9.67  9.08  5.64
  6.48  7.88].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.<tab>model.fit(X, y)"	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-1,1)をつける
UsageError: Cell magic `%%aycoder` not found.<tab>get_ipython().run_cell_magic('aycoder', 'abc149_a', 'S,T=map(int,input().split())\nprint(T+S)')	%%atcoderのスペルが違う<tab>%%aycoderを%%atcoderに直す
KeyError: '年齢'<tab>plt.scatter(df['年齢'],df['G3'])	データフレームdfに列'年齢'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
FileNotFoundError: [Errno 2] No such file or directory: 'cancer.csv'<tab>df = pd.read_csv('cancer.csv')	cancer.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
ValueError: num must be 1 <= num <= 2, not 3<tab>plt.subplot(2,1,3)	subplotで3は存在しない<tab>1から2になるようにする
KeyError: ('y', 'soldout')<tab>X = df['y','soldout']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
ImportError: cannot import name 'PolynomialFeatures' from 'sklearn.gaussian_process' (/usr/local/lib/python3.7/dist-packages/sklearn/gaussian_process/__init__.py)<tab>from sklearn.gaussian_process import PolynomialFeatures	import元が異なる<tab>from sklearn.preprocessing import PolynomialFeaturesでimportする
ValueError: invalid literal for int() with base 10: '##..'<tab>s=s+[list(map(int,input().split()))]	'##..'はint型に変換できない<tab>入力データを見直す
NameError: name 'white' is not defined<tab>print(white)	変数ansgdが見つからない<tab>ansgd=...のように定義する
TypeError: float() argument must be a string or a number, not 'list'<tab>x=float(input().split())	1つの変数に対してsplit()は不要<tab>入力に合うようにリストにするまたはsplit()を無くす
ValueError: Found input variables with inconsistent numbers of samples: [2, 506]<tab>model.fit(X, y)	Xとyのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
FileNotFoundError: [Errno 2] No such file or directory: 'boston.csv '<tab>pd.read_csv('boston.csv ')	boston.csvが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name 'ptint' is not defined<tab>ptint(0)	printのスペルが違う<tab>printに直す
AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_importance_'<tab>model.feature_importance_	featureとimportances_のスペルが違う<tab>featrueをfeatureに、importance_をimportances_に直す
TypeError: '(['犯罪率'], ['犯罪率'])' is an invalid key<tab>X = df[[column1], [column2]]  # 説明変数	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name 'ausum' is not defined<tab>print(ausum)	変数ausumが見つからない<tab>ausum=...のように定義する
